caption,rank_0,better_rank,k,mask_used
A little kitten is stuffed into a woman's purse.,12,2,5,_ _ _ is stuffed into a woman's purse
A woman is sitting on a stool on a sidewalk.,7,0,5,_ _ _ sitting on a stool on a sidewalk
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is sitting on a stool _ _ _
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is _ _ _ on a stool on a sidewalk
A sign outside of a restaurant for Italian food. ,19,2,5,_ _ _ _ of a restaurant for Italian food.
A sign outside of a restaurant for Italian food. ,19,0,5,A sign _ _ _ _ restaurant for Italian food.
closeup of a cat in a bathroom sink,13,3,5,closeup of a cat _ _ _ _ _
closeup of a cat in a bathroom sink,13,3,5,closeup of a cat in a _ _ _
"A man relaxing at home, watching television with his dog.",6,3,5,"A man _ _ _, watching television with his dog."
A woman sitting on a bucket on the side of a street. ,17,0,5,_ _ sitting on a bucket on the side of a street.
An old man standing in a kitchen posing for a picture.,22,0,5,An old man _ _ _ _ posing for a picture
A beautiful dessert waiting to be shared by two people,14,1,5,A beautiful dessert _ _ _ _ by two people
A black and white photograph of a motorcycle.,12,1,5,_ _ _ _ photograph of a motorcycle
A black and white photograph of a motorcycle.,12,0,5,A black and white _ of a motorcycle
A black and white photograph of a motorcycle.,12,4,5,_ _ and white photograph of a motorcycle
There are two yellow flowers inside a vase.,16,5,5,There are _ _ flowers inside a vase.
An American Airlines plane is in the sky,8,3,5,An American Airlines plane _ _ _ _
An American Airlines plane is in the sky,8,4,5,An American Airlines _ _ in the sky
An American Airlines plane is in the sky,8,3,5,An American Airlines plane is _ _ _
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,3,5,A fancy bathroom with _ _ _ and sinks next to a toilette.
A motorcyclist is in mid air hanging on to the handlebars.,26,0,5,A motorcyclist is in mid air _ _ _ _ _ _ _
A man looking out the back window of his truck.,8,2,5,A man _ _ _ the back window of his truck
A young boy riding a motorcycle next to a silver car.,14,5,5,A young boy riding a motorcycle _ _ _ _ _
Two women riding a motorcycle at night holding a shopping bag.,10,3,5,Two women riding a motorcycle at night _ _ _ _.
A younger man and an older man skiing in the forest.,13,0,5,_ _ _ and an older man skiing in the forest
A toilet in a stall with remote control buttons.,7,2,5,_ _ _ _ _ with remote control buttons.
Several people around some motorcycles on the side of a road.,9,2,5,_ _ around some motorcycles on the side of a road.
Several people around some motorcycles on the side of a road.,9,4,5,Several people _ _ some motorcycles on the side of a road.
Several people around some motorcycles on the side of a road.,9,3,5,Several people around some motorcycles on the side of _ _.
A group of people riding mopeds through a park.,12,5,5,A group of people _ _ through a park.
A bicycle is chained up to a pole at a train station.,14,3,5,A bicycle is _ _ _ _ to a pole at a train station.
A photo set of two women at work,12,5,5,A photo set of _ _ at work
A man is sitting in a busy area with his bike.,15,4,5,A man is sitting in a _ _ with his bike
A man is sitting in a busy area with his bike.,15,3,5,A man is _ _ _ _ _ _ with his bike
"A bus, riksha, and two men on a scooter all on the same road. ",8,5,5,"A bus, _ _, and two men on a scooter all on the same road."
"A bus, riksha, and two men on a scooter all on the same road. ",8,4,5,"A bus, riksha, and _ _ _ _ _ all on the same road."
A child with a skateboard sitting on the grass and looking at an empty field,11,4,5,A child with a skateboard sitting on the grass _ _ _ _ an empty field
A bathroom vanity with cabinets and basin sink and several grooming products scattered across it,8,1,5,_ _ _ with cabinets and basin sink and several grooming products scattered across it
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,0,5,"_ _ _, adults and children, wearing skis and helmets standing or skiing on snow."
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,2,5,"Six people, adults and children, wearing skis and helmets _ _ or skiing on snow."
Creamy cheesecake dessert with whip cream and caramel.,12,5,5,_ _ _ dessert with whip cream and caramel
Creamy cheesecake dessert with whip cream and caramel.,12,1,5,_ cheesecake dessert with whip cream and caramel
Two bicycle riders riding in the city at night.,26,5,5,_ _ _ riding in the city at night.
This is a parking garage with several signs.,8,1,5,_ _ _ parking garage with several signs.
This is a parking garage with several signs.,8,1,5,_ _ a parking garage with several signs.
A cat puts her head inside of a toilet. ,6,4,5,_ _ puts her head inside of a toilet.
A person sitting on a stool on the street.,25,1,5,_ _ sitting on a stool on the street.
Grey house cat devours a song bird on a door step,11,3,5,_ _ _ devours a song bird on a door step
A child holds a spoon and looks at a cupcake.,10,4,5,A child holds a spoon and _ _ _ a cupcake
The young man is stirring his pot of food with a wooden spoon.,12,2,5,_ _ _ is stirring his pot of food with a wooden spoon.
a person riding skis in the middle of a snowy street,6,3,5,_ _ riding skis in the middle of a snowy street
An old man is wearing an odd hat,18,1,5,An old man _ _ _ an odd hat
A dog driving an SUV in an open grass covered field.,20,5,5,_ _ driving an SUV in an open grass covered field
A white bathroom has a white shower curtain.,11,5,5,A white bathroom has a white shower _.
An overview picture of a street at night.,29,0,5,An overview picture _ _ _ at night
A fireplace with a fire built in it.,8,5,5,_ _ with a fire built in it.
A fireplace with a fire built in it.,8,5,5,A fireplace with a fire built _ _.
A fireplace with a fire built in it.,8,1,5,A fireplace with a fire _ _ in it.
Two people riding on a moped with a bus in the next lane.,28,3,10,Two people _ _ _ _ with a bus in the next lane
A sign for an Italian restaurant hangs outside a building.,26,3,10,_ _ _ an Italian restaurant hangs outside a building
A sign for an Italian restaurant hangs outside a building.,26,8,10,A sign for an Italian restaurant hangs outside _ _
Oranges are in a basket on a table next to a liquor bottle.,12,4,10,_ _ in a basket on a table next to a liquor bottle.
Oranges are in a basket on a table next to a liquor bottle.,12,3,10,Oranges are in a basket on a table _ _ _ liquor bottle.
"A busy city street with a bus, taxi, and motorcycle.",15,0,10,"_ _ _ _ with a bus, taxi, and motorcycle."
A man rides a motorcycle down an empty street next to houses.,17,2,10,_ _ rides a motorcycle down an empty street next to houses.
A boy drinking water from a toilet water fountain.,13,9,10,A boy drinking water from a toilet water _
Some toy animals on the ground near a picture,22,1,10,Some toy animals _ _ _ near a picture
A cozy living room scene features easy chairs and a large television.,25,2,10,_ _ _ _ scene features easy chairs and a large television.
A cozy living room scene features easy chairs and a large television.,25,7,10,A cozy living room scene features _ _ and a large television.
A skateboarder wearing a plaid shirt and jeans.,29,4,10,_ _ _ wearing a plaid shirt and jeans.
A skateboarder wearing a plaid shirt and jeans.,29,6,10,A skateboarder wearing a plaid shirt _ _.
A skateboarder wearing a plaid shirt and jeans.,29,6,10,A skateboarder _ _ _ _ _ _ _ _ _.
Some yellow objects are floating in red liquid in a jar.,29,6,10,_ _ _ are floating in red liquid in a jar
A couple on a motorcycle in front of a bus and a metermaid car,22,3,10,_ _ on a motorcycle in front of a bus and a metermaid car
A couple on a motorcycle in front of a bus and a metermaid car,22,4,10,A couple _ _ _ _ in front of a bus and a metermaid car
Man sleeping in his bedroom next to a cat.,11,7,10,_ sleeping in his bedroom next to a cat.
Man sleeping in his bedroom next to a cat.,11,3,10,Man sleeping in his _ next to a cat.
This is an apartment kitchen with white cabinets and appliances.,20,2,10,This is an apartment kitchen with white cabinets _ _.
A man herds cows down a road. ,14,10,10,A man herds cows down _ _.
A black Honda motorcycle with a dark burgundy seat.,14,9,10,A black _ _ with a dark burgundy seat
A black Honda motorcycle with a dark burgundy seat.,14,10,10,A black Honda motorcycle with a _ _ _
A black Honda motorcycle with a dark burgundy seat.,14,7,10,A black Honda motorcycle with a dark burgundy _
A person riding a motorcycle with a stuffed animal on the back.,13,6,10,A person riding a motorcycle with a stuffed animal _ _ _
A cat sitting on a street corner looking at the camera.,13,7,10,A cat _ _ _ _ _ _ _ looking at the camera
A desk with two monitors depicting security cameras.,11,0,10,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,4,10,A desk with _ _ depicting security cameras.
People sitting under an umbrella looking at the scenery.,25,9,10,_ _ under an umbrella looking at the scenery.
A stoic looking cat sits in a green bowl.,13,5,10,_ _ _ _ sits in a green bowl
A lot of motorbikes line up down a busy street.,11,5,10,_ _ _ motorbikes line up down a busy street
A lot of motorbikes line up down a busy street.,11,9,10,A lot of motorbikes _ _ _ down a busy street
A person holding a skateboard overlooks a dead field of crops.,20,1,10,A person _ _ _ overlooks a dead field of crops
The woman in the kitchen is holding a huge pan.,29,10,10,_ _ _ the kitchen is holding a huge pan
An oven in a kitchen with a stove on top in between counter tops.,22,6,10,An oven in a kitchen with a _ on top in between counter tops
Some dogs stick their heads out the car window.,27,8,10,_ _ stick their heads out the car window
A person with a colorful umbrella sits on a fountain.,17,10,10,_ _ _ _ a colorful umbrella sits on a fountain
A fancy bathroom with double mirrors and sinks.,15,2,10,A fancy bathroom with _ _ and sinks
A fancy bathroom with double mirrors and sinks.,15,0,10,A fancy bathroom _ _ _ _ _ _
A model standing next to a scooter in the middle of a room of people,22,4,10,A model standing next to a scooter in the middle of _ _ _ _
A beautiful new kitchen with natural wood cabinets.,25,3,10,_ _ _ _ with natural wood cabinets.
A beautiful new kitchen with natural wood cabinets.,25,3,10,A _ _ _ _ with natural wood cabinets.
Sunrise on an airport tarmac with a plane at the boarding ramp.,11,10,10,Sunrise on an airport tarmac with _ _ _ _ _ _ _
A ski resort that has a couple people outside. ,12,7,10,A ski resort _ _ _ _ _ _ _ outside.
Stained glass windows with trim decorate a church.,19,6,10,Stained glass windows with trim _ _ _
Stained glass windows with trim decorate a church.,19,5,10,Stained glass windows with trim decorate _ _
A car stopped at a traffic light with it's brake lights on.,17,6,10,_ _ stopped at a traffic light with it's brake lights on.
A person walking in the rain on the sidewalk. ,20,1,10,_ _ _ in the rain on the sidewalk.
A desktop with two computers and fruit on it.,16,5,10,_ _ with two computers and fruit on it.
A desktop with two computers and fruit on it.,16,1,10,A desktop with _ _ and fruit on it.
A car stopped at the front of the stop light. ,13,10,10,_ _ stopped at the front of the stop light.
A car stopped at the front of the stop light. ,13,8,10,A car stopped at the _ of the stop light.
A car stopped at the front of the stop light. ,13,2,10,A car stopped at the front of the _ _.
A women is taking a picture of herself and her bathroom in the bathroom mirror.,15,10,10,A women is taking a picture of herself and her bathroom in the _ _ _
A girl that is standing next to a motorcycle.,12,2,10,A girl that is standing next to a _
A girl that is standing next to a motorcycle.,12,2,10,A girl that is standing next to _ _
Two women waiting at a bench next to a street.,19,2,10,_ _ waiting at a bench next to a street.
A living room filled with books furniture and a flat screen TV.,18,9,10,A living room filled with _ _ and a flat screen TV.
An old military jet fighter climbing in altitude.,25,8,10,_ _ military jet fighter climbing in altitude
An old military jet fighter climbing in altitude.,25,9,10,An old military jet fighter _ _ _
An old military jet fighter climbing in altitude.,25,9,10,An old military jet fighter climbing _ _
The sign of a restaurant in the outside of the store.,15,6,10,_ _ _ a restaurant in the outside of the store
The sign of a restaurant in the outside of the store.,15,6,10,The sign of a restaurant in the _ _ _ _ _
The sign of a restaurant in the outside of the store.,15,7,10,The sign of a restaurant in the outside of the _ _
A little boy sitting alone on a motorcycle.,24,9,10,A little boy _ _ on a motorcycle
A woman is taking a picture of herself in a bathroom mirror.,24,9,10,A woman is _ _ _ _ of herself in a bathroom mirror
A snow covered resort with people skiing and enjoying the snow and a carasel with a protective covering over it.,17,10,10,A snow covered resort with _ _ and enjoying the snow and a carasel with a protective covering over it
A parked motorcycle with a red enclosed side car.,13,0,10,_ _ _ with a red enclosed side car.
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,10,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,7,10,"The bathroom has a wall sink, medicine cabinet, _ _, and bare walls."
A motorcycle moves forward down an empty street.,21,9,10,_ _ moves forward down an empty street.
A motorcycle moves forward down an empty street.,21,6,10,A motorcycle _ _ down an empty street.
A motorcycle moves forward down an empty street.,21,3,10,A motorcycle moves forward _ _ _ _.
A motorcycle moves forward down an empty street.,21,9,10,A motorcycle moves forward down an _ _.
A woman is taking a picture of herself in a bathroom mirror.,14,9,10,_ _ _ taking a picture of herself in a bathroom mirror
"A clean, European toilet with toilet paper and cleaning brush.",29,7,10,"A clean, European toilet with toilet paper and _ _"
A person walking in the rain while holding an umbrella.,13,1,10,_ _ walking in the rain while holding an umbrella.
A person walking in the rain while holding an umbrella.,13,5,10,A person walking in the rain _ _ _ _ _
Four giraffes in a grassy plain with trees in the background.,24,5,10,_ _ _ in a grassy plain with trees in the background.
A sign on a building advertising an Italian restaurant.,13,5,10,A sign on a _ advertising an Italian restaurant.
Half of a cake sits on a plate.,17,7,10,Half of a cake _ _ _ _ _
Half of a cake sits on a plate.,17,9,10,Half of a cake sits _ _ _
A city street with people walking and vehicles on the road.,12,1,10,A city street with people walking _ _ _ _ _
A city street with people walking and vehicles on the road.,12,2,10,A city street with people walking and vehicles _ _ _
Motorcyclist is taking a turn while onlookers observe ,13,1,10,_ is taking a turn while onlookers observe
A scooter is parked behind a red car.,17,2,10,_ _ _ parked behind a red car.
A scooter is parked behind a red car.,17,3,10,A scooter is _ _ a red car.
A scooter is parked behind a red car.,17,3,10,A _ _ parked behind a red car.
A futuristic car and a motorcycle parked next to each other. ,15,3,10,_ _ _ and a motorcycle parked next to each other.
A little kitten is stuffed into a woman's purse.,12,2,10,_ _ _ is stuffed into a woman's purse
A little kitten is stuffed into a woman's purse.,12,7,10,A little kitten _ _ _ _ a woman's purse
A biplane performing tricks in the sky with smoke coming from behind. ,11,10,10,A biplane _ _ _ _ in the sky with smoke coming from behind
A group of motorcycle riders driving past buildings.,24,8,10,_ _ _ motorcycle riders driving past buildings.
A sign outside of a restaurant for Italian food. ,19,2,10,_ _ _ _ of a restaurant for Italian food.
A sign outside of a restaurant for Italian food. ,19,0,10,A sign _ _ _ _ restaurant for Italian food.
closeup of a cat in a bathroom sink,13,3,10,closeup of a cat _ _ _ _ _
closeup of a cat in a bathroom sink,13,3,10,closeup of a cat in a _ _ _
A woman sitting on a bucket on the side of a street. ,17,0,10,_ _ sitting on a bucket on the side of a street.
A woman sitting on a bucket on the side of a street. ,17,8,10,A woman _ _ _ _ on the side of a street.
An old man standing in a kitchen posing for a picture.,22,0,10,An old man _ _ _ _ posing for a picture
A beautiful dessert waiting to be shared by two people,14,1,10,A beautiful dessert _ _ _ _ by two people
A beautiful dessert waiting to be shared by two people,14,6,10,A beautiful dessert waiting to be _ _ by two people
A black and white photograph of a motorcycle.,12,1,10,_ _ _ _ photograph of a motorcycle
A black and white photograph of a motorcycle.,12,0,10,A black and white _ of a motorcycle
A black and white photograph of a motorcycle.,12,4,10,_ _ and white photograph of a motorcycle
There are two yellow flowers inside a vase.,16,5,10,There are _ _ flowers inside a vase.
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,3,10,A fancy bathroom with _ _ _ and sinks next to a toilette.
A motorcyclist is in mid air hanging on to the handlebars.,26,10,10,_ _ _ is in mid air hanging on to the handlebars
A motorcyclist is in mid air hanging on to the handlebars.,26,0,10,A motorcyclist is in mid air _ _ _ _ _ _ _
A cat is curled up in a bowl,12,8,10,_ _ curled up in a bowl
A cat is curled up in a bowl,12,8,10,A cat is _ _ in a bowl
Commercial liner at a airport parked on a runway.,13,7,10,Commercial liner at a airport parked _ _ _
"A long empty, minimal modern skylit home kitchen.",22,9,10,"A long empty, minimal modern skylit _ _"
A young boy riding a motorcycle next to a silver car.,14,9,10,A young boy _ _ _ next to a silver car
A young boy riding a motorcycle next to a silver car.,14,5,10,A young boy riding a motorcycle _ _ _ _ _
A younger man and an older man skiing in the forest.,13,0,10,_ _ _ and an older man skiing in the forest
A younger man and an older man skiing in the forest.,13,7,10,A younger man and an older man _ _ _ _
A striped plane flying up into the sky as the sun shines behind it.,13,8,10,A striped plane _ _ _ _ _ as the sun shines behind it.
A striped plane flying up into the sky as the sun shines behind it.,13,8,10,A striped plane flying up into the sky _ _ _ _ _ _ _ _
A door for exiting and entering the house in the kitchen.,20,10,10,A door for exiting and entering the house in the _
A living room is arranged so people can watch the television.,25,6,10,_ _ _ is arranged so people can watch the television
An Asian intersection is full of mopeds and motorcycles.,14,10,10,An Asian intersection is full of mopeds and _.
A group of people riding mopeds through a park.,12,7,10,_ _ _ riding mopeds through a park.
A group of people riding mopeds through a park.,12,5,10,A group of people _ _ through a park.
A bicycle is chained up to a pole at a train station.,14,8,10,_ _ _ _ chained up to a pole at a train station.
A bicycle is chained up to a pole at a train station.,14,3,10,A bicycle is _ _ _ _ to a pole at a train station.
A photo set of two women at work,12,5,10,A photo set of _ _ at work
A large group of motorcycles lined up on the street.,19,8,10,A large group of motorcycles _ _ _ _ _ _
A man is sitting in a busy area with his bike.,15,4,10,A man is sitting in a _ _ with his bike
A man is sitting in a busy area with his bike.,15,3,10,A man is _ _ _ _ _ _ with his bike
A small child climbs atop a large motorcycle,25,8,10,A small child _ _ a large motorcycle
One apple and several oranges sit in a bowl.,12,8,10,One apple and _ _ _ sit in a bowl
A truck nears a stop light in rainy weather.,26,7,10,A truck nears a stop light in _ _.
A child with a skateboard sitting on the grass and looking at an empty field,11,10,10,A child with a skateboard _ _ _ _ _ and looking at an empty field
A child with a skateboard sitting on the grass and looking at an empty field,11,4,10,A child with a skateboard sitting on the grass _ _ _ _ an empty field
There is a dog sitting on the cart of a motorcycle.,14,8,10,There is a dog sitting on the _ of a motorcycle
A dog rides in a cart pulled by a man on a bike.,22,9,10,A dog rides in a cart pulled by a _ on a bike.
Creamy cheesecake dessert with whip cream and caramel.,12,5,10,_ _ _ dessert with whip cream and caramel
Creamy cheesecake dessert with whip cream and caramel.,12,7,10,Creamy cheesecake dessert with _ _ and caramel
Creamy cheesecake dessert with whip cream and caramel.,12,1,10,_ cheesecake dessert with whip cream and caramel
Two bicycle riders riding in the city at night.,26,5,10,_ _ _ riding in the city at night.
Two bicycle riders riding in the city at night.,26,7,10,Two bicycle riders riding in the city _ _.
A person sitting on a stool on the street.,25,1,10,_ _ sitting on a stool on the street.
A person sitting on a stool on the street.,25,8,10,A person sitting on a stool _ _ _.
A person cross country skiing in the street of a town in winter.,27,9,10,A person _ _ _ in the street of a town in winter.
Grey house cat devours a song bird on a door step,11,3,10,_ _ _ devours a song bird on a door step
Grey house cat devours a song bird on a door step,11,7,10,Grey house cat devours a song bird on a _ _
The young man is stirring his pot of food with a wooden spoon.,12,2,10,_ _ _ is stirring his pot of food with a wooden spoon.
The young man is stirring his pot of food with a wooden spoon.,12,9,10,The young man is stirring _ _ _ _ with a wooden spoon.
An old man is wearing an odd hat,18,1,10,An old man _ _ _ an odd hat
A dog driving an SUV in an open grass covered field.,20,5,10,_ _ driving an SUV in an open grass covered field
A giraffe and a zebra checking each other out.,27,9,10,A giraffe and _ _ checking each other out.
A white bathroom has a white shower curtain.,11,9,10,A white bathroom _ _ _ white shower curtain.
A white bathroom has a white shower curtain.,11,5,10,A white bathroom has a white shower _.
An overview picture of a street at night.,29,0,10,An overview picture _ _ _ at night
Two people riding on a moped with a bus in the next lane.,28,19,20,_ _ riding on a moped with a bus in the next lane
Two people riding on a moped with a bus in the next lane.,28,17,20,Two people riding on a moped with a bus _ _ _ _
Two people riding on a moped with a bus in the next lane.,28,3,20,Two people _ _ _ _ with a bus in the next lane
A sign for an Italian restaurant hangs outside a building.,26,3,20,_ _ _ an Italian restaurant hangs outside a building
A sign for an Italian restaurant hangs outside a building.,26,17,20,A sign for an Italian restaurant _ _ _ _ _
A sign for an Italian restaurant hangs outside a building.,26,8,20,A sign for an Italian restaurant hangs outside _ _
A married couple preparing food in a house kitchen.,27,12,20,A married couple preparing food _ _ _ _.
Some toy animals on the ground near a picture,22,1,20,Some toy animals _ _ _ near a picture
Some toy animals on the ground near a picture,22,14,20,Some toy animals on the ground _ _ _
Some toy animals on the ground near a picture,22,13,20,Some toy animals on the ground near _ _
A cozy living room scene features easy chairs and a large television.,25,2,20,_ _ _ _ scene features easy chairs and a large television.
A cozy living room scene features easy chairs and a large television.,25,7,20,A cozy living room scene features _ _ and a large television.
