caption,rank_0,better_rank,k,mask_used
A skier is overlooking a snow-covered mountain .,6,1,5,_ is overlooking a snow-covered mountain .
Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street .,8,2,5,Juggling her shopping bags and _ _ _ and young woman crosses a city street .
Young boy with blond-hair playing with a mixer .,7,3,5,Young boy with _ _ playing with a mixer .
Young boy with blond-hair playing with a mixer .,7,5,5,Young boy with blond-hair playing with a mixer _
Two young children eating a snack and playing in the grass .,9,4,5,_ _ _ eating a snack and playing in the grass .
Two young children eating a snack and playing in the grass .,9,1,5,Two young children eating a snack _ _ _ _ _ .
Two young children eating a snack and playing in the grass .,9,5,5,Two young children eating a snack and playing in the _ .
A young boy in swimming trunks is walking with his arms outstretched on the beach .,6,0,5,A young boy in swimming trunks _ _ _ _ _ _ on the beach .
A girl in pigtails splashes in the shallow water .,14,1,5,_ _ in pigtails splashes in the shallow water .
A girl in pigtails splashes in the shallow water .,14,0,5,A girl in pigtails _ _ _ _ _ .
There are a lot of bikes parked under the curved roof tonight .,8,3,5,_ are a lot of bikes parked under the curved roof tonight .
There are a lot of bikes parked under the curved roof tonight .,8,1,5,There _ _ _ _ bikes parked under the curved roof tonight .
A girl with numerous bags walks on a crosswalk along with other people .,27,0,5,A girl with numerous bags _ _ _ _ along with other people .
A child in a pink dress is climbing up a set of stairs in an entry way .,9,1,5,A child in a pink dress is climbing up a _ _ _ _ in an entry way .
A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,10,3,5,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the _ .
Hikers treks upward through the creek bed  stopping to catch their breath and enjoy the cool  green scenery .,15,4,5,_ treks upward through the creek bed stopping to catch their breath and enjoy the cool green scenery.
A person laying on a street bench under a blue plaid blanket .,7,5,5,_ _ _ on a street bench under a blue plaid blanket .
Two guy cooking and joking around with the camera .,6,1,5,Two guy cooking and joking around with the _ .
A gray dog is leaping over a fallen tree .,6,2,5,_ _ _ is leaping over a fallen tree .
A gray dog is leaping over a fallen tree .,6,1,5,A gray dog _ _ _ a fallen tree .
A gray dog is leaping over a fallen tree .,6,5,5,_ gray dog is leaping over a fallen tree .
Two dogs run towards each other on a rocky area with water in the background .,15,2,5,Two dogs _ _ _ _ _ on a rocky area with water in the background .
Two dogs run towards each other on a rocky area with water in the background .,15,2,5,Two dogs run towards each other on a rocky area with _ _ _ _ .
A meal is on a table in a restaurant .,15,5,5,A meal is on a table _ _ _ .
Firemen stand outside of their firetruck with all its lights on .,10,5,5,_ stand outside of their firetruck with all its lights on .
Firemen stand outside of their firetruck with all its lights on .,10,1,5,Firemen _ _ _ their firetruck with all its lights on .
Firemen stand outside of their firetruck with all its lights on .,10,5,5,Firemen stand outside of their _ with all its lights on .
Light brown dog running along the beach .,9,4,5,_ _ _ running along the beach .
A woman pushes her baby in a stroller .,22,3,5,A woman _ _ _ in a stroller .
Someone sleeping on bench on city street .,9,4,5,Someone _ _ bench on city street .
A baby boy crying standing on a field of grass .,11,2,5,_ baby boy crying standing on a field of grass .
A baby boy crying standing on a field of grass .,11,2,5,A _ _ crying standing on a field of grass .
A girl playing softball hits the ball almost directly downwards,16,3,5,_ _ _ _ hits the ball almost directly downwards
A girl playing softball hits the ball almost directly downwards,16,4,5,A girl _ _ _ hits the ball almost directly downwards
Two kids are laughing in the grass .,8,5,5,Two kids are laughing _ _ _ .
A tan dog runs on a sandy beach .,10,1,5,_ _ dog runs on a sandy beach .
A tan dog runs on a sandy beach .,10,1,5,A tan _ runs on a sandy beach .
A tan dog runs on a sandy beach .,10,4,5,A tan dog runs on a _ _ .
A little boy and a girl sitting down in the grass having fun .,15,5,5,A little boy and a girl sitting down in the _ _ _ _ .
A little boy and a girl sitting down in the grass having fun .,15,5,5,A little boy and a girl sitting down in the grass having _ .
A girl hitting a softball but she missed the ball .,14,1,5,_ girl hitting a softball but she missed the ball .
A girl hitting a softball but she missed the ball .,14,1,5,A _ hitting a softball but she missed the ball .
A group of snowmobile riders gather in the snow .,17,5,5,A group of snowmobile riders _ _ _ _ .
A dog leaps to catch a ball in a field .,15,5,5,_ _ leaps to catch a ball in a field .
A little boy playing with his toy .,8,3,5,_ little boy playing with his toy .
A person in gray stands alone on a structure outdoors in the dark .,7,5,5,A person in _ stands alone on a structure outdoors in the dark .
a black and white dog jumps to get the Frisbee .,12,4,5,a black and white _ _ _ _ _ the Frisbee .
A person standing on a frozen lake .,11,4,5,A person _ on a frozen lake .
Two men are at the stove preparing food .,6,2,5,Two men are at the stove _ _ .
Two men are at the stove preparing food .,6,5,5,Two men are at the stove preparing _ .
A man stands by an elevator with his head down .,18,1,5,_ stands by an elevator with his head down .
Man and woman cutting wedding cake .,8,5,5,Man and woman _ _ _ .
A black dog carrying something through the grass .,10,1,5,A black dog _ _ through the grass .
A black dog carrying something through the grass .,10,1,5,_ black dog carrying something through the grass .
A man wearing a gray jacket and blue work pants is standing in a hole in the ground,6,1,5,A man wearing a _ _ and _ _ _ is standing in a hole in the ground
A man in a blue shirt standing in a garden .,8,4,5,_ _ in a blue shirt standing in a garden .
A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,11,5,5,A man in a white t-shirt looks toward the camera _ _ _ _ _ _ _ _ _ _ .
Two kids are running and playing in some water .,7,2,5,Two kids are running and playing _ _ _ .
Two kids are running and playing in some water .,7,4,5,_ kids are running and playing in some _ .
The lady is pushing a child in a stroller .,11,4,5,The lady _ _ a child in a stroller .
A security guard on watch duty at the museum .,12,4,5,_ _ _ on watch duty at the museum .
A security guard on watch duty at the museum .,12,1,5,A security guard _ _ _ at the museum .
A security guard on watch duty at the museum .,12,0,5,_ security guard on watch duty at the museum .
Men in the business suits are crossing the street  and there are people with placards are gathering on the street .,17,3,5,Men in the _ _ are crossing the street and there are people with placards are gathering on the street.
Two men  one in a gray shirt  one in a black shirt  standing near a stove .,10,5,5,Two men one in a gray shirt one in a black shirt _ _ _ _ .
A security man with his watch dog is looking for something .,7,4,5,A security man with his watch dog is looking for _ .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,3,5,_ _ sitting on a bench in front of a sign with a picture of man and a lady .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,1,5,Two men _ _ _ _ _ in front of a sign with a picture of man and a lady .
A man in sunglasses puts his arm around a woman in a black and white blouse .,6,2,5,_ _ _ sunglasses puts his arm around a woman in a black and white blouse .
A very bus street is shown with Asian people all around walking and riding bicycles .,10,2,5,_ _ _ street is shown with Asian people all around walking and riding bicycles .
A young boy runs aross the street .,23,4,5,A young boy _ across the street .
People gathered in a room to talk about their favorite tunes .,13,3,5,_ gathered in a room to talk about their favorite tunes .
A woman in a white shirt is sitting at a table in a nice restaurant .,15,5,5,A woman in a _ _ is sitting at a table in a nice restaurant .
Two men in a kitchen cooking food on a stove .,9,4,5,Two men _ _ _ _ _ _ on a stove .
Two men in a kitchen cooking food on a stove .,9,5,5,Two men in a kitchen _ _ _ _ _ .
Two men in a kitchen cooking food on a stove .,9,4,5,Two men in a kitchen cooking food _ _ _ .
A man in an orange hat starring at something .,19,3,5,A man in an orange hat _ _ _ .
A man is standing in front of a small red object that looks like a plane .,15,2,5,A man is _ _ _ _ _ small red object that looks like a plane .
A man sleeping in a green room on a couch .,9,4,5,A man sleeping in a green room on a _ .
A fish sellers stock is looked upon by two old men .,16,4,5,_ fish sellers stock is looked upon by two old men .
Two women in colorful clothing are cleaning the road .,14,0,5,Two women in colorful clothing are cleaning the _ .
Someone is laying in front of the TV eating food .,23,4,5,_ is laying in front of the TV eating food .
Someone is laying in front of the TV eating food .,23,0,5,Someone is _ _ _ _ _ the TV eating food .
A black dog and a tri-colored dog playing with each other on the road .,7,3,5,A black dog and a tri-colored dog _ _ _ _ _ on the road .
A girl with pigtails plays in the water .,7,5,5,_ _ with pigtails plays in the water .
A girl with pigtails plays in the water .,7,0,5,A girl with pigtails _ _ _ _ .
People are fixing the roof of a house .,6,4,5,_ are fixing the roof of a house .
A person eats takeout while watching a small television .,8,0,5,_ eats takeout while watching a small television .
A man with a plaid blanket sleeps on a bench near a city street .,6,2,5,_ _ _ a plaid blanket sleeps on a bench near a city street .
A man with a plaid blanket sleeps on a bench near a city street .,6,5,5,A man with a plaid blanket _ _ _ _ near a city street .
A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .,6,0,5,_ _ _ a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .
A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .,6,1,5,A woman in _ _ _ and _ lies on a red blanket in a grassy field with a bike set down next to her .
A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .,6,4,5,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to _ .
A solitary man stand on a bridge in the evening .,7,0,5,_ solitary man stand on a bridge in the evening .
A solitary man stand on a bridge in the evening .,7,0,5,A solitary _ stand on a bridge in the evening .
A solitary man stand on a bridge in the evening .,7,5,5,A solitary man stand on a bridge in the _ .
A man in blue shorts is laying in the street .,7,4,5,A man in blue shorts is laying in the _ .
Several Asians eat food outdoors .,9,0,5,Several Asians eat food _ .
A man and child kayak through gentle waters .,11,0,5,_ _ _ child kayak through gentle waters .
A man and child kayak through gentle waters .,11,1,5,A man and child kayak _ _ _ .
A girl in a green skirt is singing Karaoke .,6,0,5,A girl in a green skirt is singing _ .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,5,_ _ _ in sunglasses holds a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,5,A young man in sunglasses holds a blue cup next to a _ with _ .
Two young  White males are outside near many bushes .,8,0,5,Two young _ _ are outside near many bushes .
Two young  White males are outside near many bushes .,8,0,5,Two young White males _ _ _ many bushes .
The man with pierced ears is wearing glasses and an orange hat .,25,1,5,_ _ with pierced ears is wearing glasses and an orange hat .
The man with pierced ears is wearing glasses and an orange hat .,25,1,5,The man with _ _ is wearing glasses and an orange hat .
A little baby is wearing purple pants .,12,5,5,A little baby _ _ purple pants .
A little baby is wearing purple pants .,12,5,5,A little baby is wearing _ _ .
A man is fixing the guitar players costume .,8,5,5,_ _ is fixing the guitar players costume .
A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,9,3,5,_ _ _ with dark hair and wearing glasses is putting white powder on a cake using a sifter .
Boys dancing on poles in the middle of the night .,10,3,5,Boys dancing on poles in the middle of the night _
Couple with a baby sit outdoors next to their stroller .,15,3,5,Couple with a _ sit outdoors next to their stroller .
Couple with a baby sit outdoors next to their stroller .,15,4,5,Couple with a baby sit outdoors next to _ _ .
Seven joggers run down a path .,7,2,5,Seven joggers run down a _ .
Two women  one in green and the other in purple  washing a sidewalk .,29,4,5,Two women _ _ _ _ _ _ _ washing a sidewalk .
Several firefighters stand outside of a building near their firetrucks .,22,2,5,Several firefighters _ _ _ _ _ near their firetrucks .
Dog with orange ball at feet  stands on shore shaking off water,28,4,5,Dog with orange ball at feet stands on _ _ _ _ _
A gymnast performing on the balance beam in front of an audience .,6,3,5,_ gymnast performing on the balance beam in front of an audience .
A long-haired man sleeping on a couch,9,3,5,_ long-haired man sleeping on a couch
A man is holding his cup while he grills hotdogs .,28,1,5,_ _ _ holding his cup while he grills hotdogs .
A man is holding his cup while he grills hotdogs .,28,0,5,A man is holding his cup _ _ _ _ .
A man with wild hair rocks a show playing a guitar center stage .,8,3,5,A man with wild hair _ _ _ playing a guitar center stage .
A man with wild hair rocks a show playing a guitar center stage .,8,4,5,A man with wild hair rocks a show playing a guitar _ _ .
A girls plays in the surf .,8,1,5,A girls plays in the _ .
A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .,10,4,5,_ _ _ wearing a blue shirt and sandals playing with a red toy while sitting on the floor .
A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .,10,2,5,A young child wearing a blue shirt and sandals _ _ _ _ _ _ while sitting on the floor .
A man is sitting at a table with a beer .,6,3,5,A man _ _ _ _ _ _ a beer .
A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,13,5,5,A man with a red jacket is shielding himself from the sun trying to read _ _ _ _ .
A child using an electric mixer in a bowl .,11,4,5,A child using an electric mixer _ _ _ .
A man is standing on a ladder painting bricks,10,5,5,_ _ is standing on a ladder painting bricks
Three people are on a hilltop overlooking a green valley .,6,5,5,_ _ _ on a hilltop overlooking a green valley .
Three people are on a hilltop overlooking a green valley .,6,5,5,_ _ are on a hilltop overlooking a green valley .
A man with a badge is standing on a wood floor next to a structure .,17,3,5,_ _ _ a badge is standing on a wood floor next to a structure .
A man with a badge is standing on a wood floor next to a structure .,17,5,5,A man with _ _ is standing on a wood floor next to a structure .
An officer in a reflective vest stands at the front of his van with his dog .,12,4,5,An officer in _ _ _ stands at the front of his van with his dog .
A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .,16,0,5,A man with glasses is sitting a chair playing the oboe _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ .
A little boy with a blue shirt on sitting on the ground playing with legos .,6,1,5,A little boy with _ _ _ _ sitting on the ground playing with legos .
A couple with their newborn baby sitting under a tree facing a lake .,21,5,10,A couple with their newborn baby _ _ _ _ _ _ _ _ .
A couple with their newborn baby sitting under a tree facing a lake .,21,5,10,A couple with their newborn baby sitting under a tree facing a _ .
A little boy at a lake watching a duck .,13,5,10,A little boy at a lake watching a _ .
People are watching a person in a weird vehicle in a plaza .,21,7,10,People are watching _ _ _ _ _ _ in a plaza .
Several men in hard hats are operating a giant pulley system .,15,4,10,Several men _ _ _ are operating a giant pulley system .
The white and brown dog is running over the surface of the snow .,12,0,10,The white and brown dog _ _ _ _ _ _ _ _ _ .
Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .,16,5,10,_ _ _ one wearing a white top and black pants the other wearing all black and a pair of pink flip-flops kneel on a gray brick sidewalk path in front of green and red bushes
Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .,16,2,10,Two separate women _ _ _ _ _ _ _ _ the other wearing all black and a pair of pink flip-flops kneel on a gray brick sidewalk path in front of green and red bushes
A young man sits on the floor by the television with a fast food meal in front of him .,11,1,10,_ young man sits on the floor by the television with a fast food meal in front of him .
A young man sits on the floor by the television with a fast food meal in front of him .,11,0,10,A _ _ sits on the floor by the television with a fast food meal in front of him .
A young man sits on the floor by the television with a fast food meal in front of him .,11,9,10,A young man sits on the floor by the television with a fast food meal _ _ _ .
A white dog shakes on the edge of a beach with an orange ball .,18,9,10,A white dog shakes _ _ _ _ _ with an orange ball .
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,0,10,_ _ _ a yellow shirt with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,5,10,A man in a _ _ with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,3,10,A man in a yellow shirt with a _ _ _ sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,10,10,A man in a yellow shirt with a tall gray suitcase sitting next to another man in a _ _ _ _ _ behind them a tall billboard for sunglasses and prescription glasses
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,16,9,10,_ _ with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,16,4,10,The man _ _ _ _ is sitting in a buildings courtyard in front of an art sculpture reading .
A man in a green sweater and black vest sitting in a booth .,14,6,10,_ _ _ a green sweater and black vest sitting in a booth .
A man in a green sweater and black vest sitting in a booth .,14,10,10,A man in a green sweater and _ _ sitting in a booth .
A old man having a beer alone .,20,7,10,A _ man having a beer alone .
At least four instrumentalists play clarinets and other instruments in a curtained room .,25,9,10,At least four instrumentalists play clarinets and other instruments _ _ _ _ _ _ _ .
A boy jumps on his skateboard while a crowd watches,13,10,10,A boy jumps on _ _ _ a crowd watches
A boy jumps on his skateboard while a crowd watches,13,9,10,A boy jumps on his skateboard while _ _ _
A girl in pigtails splashes in the shallow water .,14,1,10,_ _ in pigtails splashes in the shallow water .
A girl in pigtails splashes in the shallow water .,14,0,10,A girl in pigtails _ _ _ _ _ .
A girl in pigtails splashes in the shallow water .,14,6,10,A girl in pigtails splashes in the _ _ .
A group of hikers traveling along a rock strewn creek bed .,15,9,10,A group of _ traveling along a rock strewn creek bed .
A girl with numerous bags walks on a crosswalk along with other people .,27,0,10,A girl with numerous bags _ _ _ _ along with other people .
A dog shakes its head near the shore  a red ball next to it .,17,7,10,A dog shakes its head _ _ _ _ a red ball next to it .
Six people are sitting at a table eating food .,18,8,10,_ people are sitting at a table eating food .
Several men are sitting by a river conversing with one another while a boat drifts by them .,28,8,10,Several men are sitting by a river conversing with one another while a _ _ _ _ .
Hikers treks upward through the creek bed  stopping to catch their breath and enjoy the cool  green scenery .,15,4,10,_ treks upward through the creek bed stopping to catch their breath and enjoy the cool green scenery.
Hikers treks upward through the creek bed  stopping to catch their breath and enjoy the cool  green scenery .,15,8,10,Hikers treks upward through the creek bed stopping to catch their breath and enjoy the _ _ _.
A group of people sit on a wall at the beach .,17,7,10,A group of people _ _ _ _ at the beach .
Two dogs run towards each other on a rocky area with water in the background .,15,2,10,Two dogs _ _ _ _ _ on a rocky area with water in the background .
Two dogs run towards each other on a rocky area with water in the background .,15,2,10,Two dogs run towards each other on a rocky area with _ _ _ _ .
A group of teens sit on a wall by a beach .,14,8,10,A group of teens _ _ _ _ by a beach .
A meal is on a table in a restaurant .,15,6,10,A meal _ _ _ _ in a restaurant .
A meal is on a table in a restaurant .,15,5,10,A meal is on a table _ _ _ .
A meal is on a table in a restaurant .,15,9,10,_ meal is on a table in a restaurant .
A woman pushes her baby in a stroller .,22,3,10,A woman _ _ _ in a stroller .
A baby boy crying standing on a field of grass .,11,2,10,_ baby boy crying standing on a field of grass .
A baby boy crying standing on a field of grass .,11,2,10,A _ _ crying standing on a field of grass .
A baby boy crying standing on a field of grass .,11,7,10,A baby boy crying standing on a field of _ .
A girl playing softball hits the ball almost directly downwards,16,3,10,_ _ _ _ hits the ball almost directly downwards
A girl playing softball hits the ball almost directly downwards,16,6,10,A girl playing softball hits the ball _ _ _
A girl playing softball hits the ball almost directly downwards,16,4,10,A girl _ _ _ hits the ball almost directly downwards
A little boy and a girl sitting down in the grass having fun .,15,5,10,A little boy and a girl sitting down in the _ _ _ _ .
A little boy and a girl sitting down in the grass having fun .,15,5,10,A little boy and a girl sitting down in the grass having _ .
A girl hitting a softball but she missed the ball .,14,1,10,_ girl hitting a softball but she missed the ball .
A girl hitting a softball but she missed the ball .,14,1,10,A _ hitting a softball but she missed the ball .
A girl hitting a softball but she missed the ball .,14,6,10,A girl hitting a _ but she missed the ball .
A group of snowmobile riders gather in the snow .,17,6,10,A group of _ _ gather in the snow .
A group of snowmobile riders gather in the snow .,17,5,10,A group of snowmobile riders _ _ _ _ .
A balding man wearing a red life jacket is sitting in a small boat .,11,7,10,A balding man _ _ _ _ _ is sitting in a small boat .
A balding man wearing a red life jacket is sitting in a small boat .,11,9,10,A balding man wearing a red life jacket _ _ _ _ _ _ .
A balding man wearing a red life jacket is sitting in a small boat .,11,10,10,A balding man wearing a red life jacket is sitting in a _ _ .
A dog leaps to catch a ball in a field .,15,5,10,_ _ leaps to catch a ball in a field .
A dog leaps to catch a ball in a field .,15,6,10,A dog leaps to catch _ _ _ _ _ .
A dog leaps to catch a ball in a field .,15,6,10,A dog leaps to catch a ball in a _ .
a black and white dog jumps to get the Frisbee .,12,4,10,a black and white _ _ _ _ _ the Frisbee .
A person standing on a frozen lake .,11,6,10,_ person standing on a frozen lake .
A person standing on a frozen lake .,11,4,10,A person _ on a frozen lake .
A man stands by an elevator with his head down .,18,1,10,_ stands by an elevator with his head down .
A man stands by an elevator with his head down .,18,9,10,A man _ _ _ elevator with his head down .
A man stands by an elevator with his head down .,18,10,10,A man stands by an elevator with his head _ .
A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,11,6,10,_ _ in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,11,5,10,A man in a white t-shirt looks toward the camera _ _ _ _ _ _ _ _ _ _ .
The lady is pushing a child in a stroller .,11,10,10,_ _ is pushing a child in a stroller .
The lady is pushing a child in a stroller .,11,4,10,The lady _ _ a child in a stroller .
The lady is pushing a child in a stroller .,11,8,10,The lady is pushing _ _ _ a stroller .
Two young toddlers outside on the grass .,18,10,10,Two young toddlers _ _ _ _ .
A security guard on watch duty at the museum .,12,4,10,_ _ _ on watch duty at the museum .
A security guard on watch duty at the museum .,12,1,10,A security guard _ _ _ at the museum .
A security guard on watch duty at the museum .,12,0,10,_ security guard on watch duty at the museum .
Men in the business suits are crossing the street  and there are people with placards are gathering on the street .,17,3,10,Men in the _ _ are crossing the street and there are people with placards are gathering on the street.
Men in the business suits are crossing the street  and there are people with placards are gathering on the street .,17,7,10,Men in the business suits are crossing the street and there are _ _ _ are gathering on the street.
A man wearing a red life-vest is sitting in a canoe on a body of water .,13,8,10,_ _ _ a red life-vest is sitting in a canoe on a body of water .
A man wearing a red life-vest is sitting in a canoe on a body of water .,13,10,10,A man wearing a red life-vest _ _ _ _ _ _ _ _ _ .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,3,10,_ _ sitting on a bench in front of a sign with a picture of man and a lady .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,1,10,Two men _ _ _ _ _ in front of a sign with a picture of man and a lady .
A child is performing a skateboard trick while another child with a skateboard leans on a wall .,28,9,10,A child _ _ _ _ _ _ while another child with a skateboard leans on a wall .
Three men are standing at night near a black car near a shelter filled with bicycles .,11,10,10,_ _ _ standing at night near a black car near a shelter filled with bicycles .
Three men are standing at night near a black car near a shelter filled with bicycles .,11,9,10,Three men are _ _ _ _ _ a black car near a shelter filled with bicycles .
A young boy runs aross the street .,23,4,10,A young boy _ across the street .
A young boy runs aross the street .,23,9,10,A young boy runs across the _ .
People gathered in a room to talk about their favorite tunes .,13,3,10,_ gathered in a room to talk about their favorite tunes .
People gathered in a room to talk about their favorite tunes .,13,9,10,People _ in a room to talk about their favorite tunes .
A boy bites hard into a treat while he sits outside .,18,10,10,A boy bites _ _ _ _ _ while he sits outside .
A boy bites hard into a treat while he sits outside .,18,8,10,A boy bites hard into a treat _ _ _ _ _ .
A boy bites hard into a treat while he sits outside .,18,10,10,A boy bites hard into a treat while he sits _ _ .
A woman in a white shirt is sitting at a table in a nice restaurant .,15,5,10,A woman in a _ _ is sitting at a table in a nice restaurant .
A woman in a white shirt is sitting at a table in a nice restaurant .,15,7,10,A woman in a white shirt _ _ _ _ _ in a nice restaurant .
A woman crouches near three dogs in a field .,21,10,10,_ woman crouches near three dogs in a field .
A woman crouches near three dogs in a field .,21,7,10,A _ crouches near three dogs in a field .
A man in an orange hat starring at something .,19,7,10,_ _ _ an orange hat starring at something .
A man in an orange hat starring at something .,19,3,10,A man in an orange hat _ _ _ .
A man in an orange hat starring at something .,19,9,10,_ _ in an orange hat starring at something .
A man is standing in front of a small red object that looks like a plane .,15,10,10,_ _ standing in front of a small red object that looks like a plane .
A man is standing in front of a small red object that looks like a plane .,15,2,10,A man is _ _ _ _ _ small red object that looks like a plane .
A fish sellers stock is looked upon by two old men .,16,4,10,_ fish sellers stock is looked upon by two old men .
A fish sellers stock is looked upon by two old men .,16,8,10,A fish sellers stock _ _ _ _ two old men .
Two women in colorful clothing are cleaning the road .,14,0,10,Two women in colorful clothing are cleaning the _ .
Someone is laying in front of the TV eating food .,23,4,10,_ is laying in front of the TV eating food .
