caption,rank_0,better_rank,k,mask_used
A BMW motor cycle parked next to shrub..,39,2,5,A BMW motor cycle _ _ _ _ _.
Dogs stick their heads out of car windows,10,5,5,_ _ _ their heads out of car windows
Dogs stick their heads out of car windows,10,4,5,Dogs _ _ _ _ out of car windows
A dog driving an SUV in an open grass covered field.,20,1,5,_ _ _ _ an SUV in an open grass covered field
"A man relaxing at home, watching television with his dog.",6,5,5,"_ _ _ at home, watching television with his dog."
A scooter is parked behind a red car.,17,1,5,_ _ _ _ behind a red car.
A scooter is parked behind a red car.,17,4,5,_ _ is parked behind a red car.
A fancy bathroom with double mirrors and sinks.,15,2,5,A fancy bathroom with _ _ and sinks
A green car on display next to a busy street.,7,4,5,A green car on display next to a _ _.
A green car on display next to a busy street.,7,1,5,A green car on display _ _ _ _ _.
People riding on top of elephants that are walking in a line across a road. ,15,1,5,People _ _ _ _ of elephants that are walking in a line across a road.
An old man standing in a kitchen posing for a picture.,22,1,5,An old man _ _ _ _ posing for a picture.
Motorcyclist is taking a turn while onlookers observe ,13,2,5,_ _ taking a turn while onlookers observe
A city street with people walking and vehicles on the road.,12,4,5,A city street with people walking and vehicles _ _ _.
Children's toy animals are strewn across a floor.,29,5,5,Children's toy animals _ _ _ _ _ _ _.
The coconut cake on a red plate is half gone.,8,2,5,The coconut cake on a _ _ is half gone.
The coconut cake on a red plate is half gone.,8,3,5,The coconut cake on a red plate _ _ _.
The coconut cake on a red plate is half gone.,8,4,5,The coconut cake on a red plate is _ _.
A black and white photograph of a motorcycle.,12,1,5,_ _ _ _ photograph of a motorcycle
A cow standing by a damaged car in a field.,8,0,5,_ _ _ by a damaged car in a field.
A cow standing by a damaged car in a field.,8,4,5,A cow standing by a damaged car _ _ _.
A cow standing by a damaged car in a field.,8,0,5,A cow _ _ _ a damaged car in a field.
A giraffe and a zebra are on a grassy field by the water.,8,5,5,A giraffe and a zebra are on a grassy field by the _
a person riding skis in the middle of a snowy street,6,4,5,_ _ riding skis in the middle of a snowy street
A sign for an Italian restaurant hangs outside a building.,26,2,5,_ _ _ _ an Italian restaurant hangs outside a building
Trees ring a cathedral with clock tower and elaborate turrets.,41,3,5,Trees ring a cathedral with _ _ and elaborate turrets.
A person sitting on a stool on the street.,25,1,5,_ _ _ on a stool on the street
four urinals in a public restroom with a window,40,3,5,_ _ _ in a public restroom with a window
A sign outside of a restaurant for Italian food. ,19,0,5,_ _ outside of a restaurant for Italian food.
A desktop with two computers and fruit on it.,16,2,5,A desktop with _ _ and fruit on it.
A parked motorcycle with a red enclosed side car.,13,0,5,_ _ _ with a red enclosed side car.
A parked motorcycle with a red enclosed side car.,13,0,5,_ parked motorcycle with a red enclosed side car.
A fireplace with a fire built in it.,8,0,5,A fireplace with a fire _ _ _ _.
A skateboarder wearing a plaid shirt and jeans.,29,5,5,_ _ wearing a plaid shirt and jeans.
A toilet in a stall with remote control buttons.,7,2,5,_ _ _ _ _ with remote control buttons.
A toilet in a stall with remote control buttons.,7,2,5,A toilet _ _ _ _ with remote control buttons.
A man looking out the back window of his truck.,8,2,5,A man _ _ _ the back window of his truck.
Grey house cat devours a song bird on a door step,11,4,5,_ _ _ devours a song bird on a door step
A person walking in the rain on the sidewalk. ,20,1,5,_ _ _ in the rain on the sidewalk
Cars try to maneuver into parking spaces along a densely packed city street. ,7,4,5,_ _ _ to maneuver into parking spaces along a densely packed city street
Cars try to maneuver into parking spaces along a densely packed city street. ,7,5,5,Cars try to _ _ _ _ parking spaces along a densely packed city street
A couple on a motorcycle in front of a bus and a metermaid car,22,3,5,_ _ on a motorcycle in front of a bus and a metermaid car
A cat is at an opening between two doors.,8,0,5,_ _ _ at an opening between two doors.
A woman is taking a picture of herself in a bathroom mirror.,24,5,5,A woman is _ _ _ _ of herself in a bathroom mirror.
A dog with goggles is in a motorcycle side car.,6,3,5,A dog with _ _ _ in a motorcycle side car
A dog with goggles is in a motorcycle side car.,6,4,5,A dog with goggles is in a _ _ _ _
A dog with goggles is in a motorcycle side car.,6,3,5,A dog with goggles is _ _ motorcycle side car
This is a parking garage with several signs.,8,2,5,_ _ _ parking garage with several signs
someone jumping up to get a frisbee out of a tree,7,3,5,someone jumping up to _ _ _ _ out of a tree
Hot Wheels prop car in a studio exhibit.,9,2,5,Hot Wheels prop car _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,4,5,Hot Wheels prop car in a _ _
A girl observes a life size toy kitchen.,18,3,5,A girl observes a life size toy _ _
Some toy animals on the ground near a picture,22,1,5,Some toy animals _ _ _ near a picture
Creamy cheesecake dessert with whip cream and caramel.,12,2,5,_ cheesecake dessert with whip cream and caramel.
A bathroom vanity with cabinets and basin sink and several grooming products scattered across it,8,1,5,_ _ _ with cabinets and basin sink and several grooming products scattered across it
A cow stands in the mud next to a car.,10,2,5,_ _ _ in the mud next to a car
A person holding a skateboard overlooks a dead field of crops.,20,4,5,A person holding a _ _ overlooks a dead field of crops
A cat in between two cars in a parking lot.,8,5,5,A cat in _ _ _ _ in a parking lot.
A skateboarder is riding his skateboard at night.,33,4,5,_ _ is riding his skateboard at night.
A car is parked on dry grass with kites overhead.,49,5,5,A car is parked on dry grass with _ _
A kitchen is shown with wooden cabinets and a wooden celling.,30,3,5,_ _ _ _ with wooden cabinets and a wooden celling
A kitchen is shown with wooden cabinets and a wooden celling.,30,5,5,A kitchen _ _ _ wooden cabinets and a wooden celling
The young man is stirring his pot of food with a wooden spoon.,12,2,5,_ _ _ is stirring his pot of food with a wooden spoon.
A bathroom with only a toilet and tub with the wall covered in plastic,7,0,5,A bathroom with _ _ _ _ _ _ with the wall covered in plastic
A car stopped at the front of the stop light. ,13,3,5,A car stopped at the front of the _ _ _.
The car is at the intersection while the sun is setting.,8,1,5,The car is at the intersection while the sun is _ _.
The car is at the intersection while the sun is setting.,8,3,5,The car is at the intersection while _ _ is setting.
A woman is at her oven in a lime green kitchen.,36,5,10,_ _ _ at her oven in a lime green kitchen
A woman is at her oven in a lime green kitchen.,36,2,10,A woman is _ _ _ _ in a lime green kitchen
closeup of a cat in a bathroom sink,13,4,10,closeup of a cat in a _ _ _
Man sleeping in his bedroom next to a cat.,11,1,10,Man sleeping _ _ _ next to a cat.
A striped plane flying up into the sky as the sun shines behind it.,13,7,10,A striped plane flying up into the sky _ _ _ _ _ _ _ _.
A living room is arranged so people can watch the television.,25,9,10,_ _ _ _ is arranged so people can watch the television.
A living room is arranged so people can watch the television.,25,5,10,A living room is arranged so people can watch _ _.
A black Honda motorcycle with a dark burgundy seat.,14,10,10,A black Honda _ _ _ a dark burgundy seat
A black Honda motorcycle with a dark burgundy seat.,14,8,10,A black Honda motorcycle with a dark burgundy _
A photo set of two women at work,12,9,10,A photo set of _ _ at work
A girl that is standing next to a motorcycle.,12,2,10,A girl that is standing next to a _ _.
A beautiful new kitchen with natural wood cabinets.,25,4,10,_ _ _ _ with natural wood cabinets.
A person riding a motorcycle with a stuffed animal on the back.,13,6,10,A person riding a motorcycle with a stuffed animal _ _ _.
A little kitten is stuffed into a woman's purse.,12,2,10,_ _ _ is stuffed into a woman's purse.
A little kitten is stuffed into a woman's purse.,12,8,10,A little kitten _ _ _ _ a woman's purse.
A little kitten is stuffed into a woman's purse.,12,6,10,A little kitten is stuffed into a woman's purse _ _
Four giraffes in a grassy plain with trees in the background.,24,7,10,_ _ _ in a grassy plain with trees in the background.
"A busy city street with a bus, taxi, and motorcycle.",15,0,10,"_ _ _ _ with a bus, taxi, and motorcycle."
A child with a skateboard sitting on the grass and looking at an empty field,11,1,10,A child with _ _ _ _ on the grass and looking at an empty field
A desk with two monitors depicting security cameras.,11,1,10,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,5,10,A desk with _ _ depicting security cameras.
A woman sitting on a bucket on the side of a street. ,17,1,10,_ _ sitting on a bucket on the side of a street.
A beautiful dessert waiting to be shared by two people,14,1,10,A beautiful dessert _ _ _ _ _ by two people
A person walking in the rain while holding an umbrella.,13,3,10,_ _ _ in the rain while holding an umbrella.
A person walking in the rain while holding an umbrella.,13,5,10,A person walking in the rain while _ _ an umbrella.
Two girls and a boy point to an unbaked pizza.,46,8,10,Two girls and a boy _ _ _ _ unbaked pizza
Two girls and a boy point to an unbaked pizza.,46,8,10,Two girls and a boy point to an unbaked _ _
This is an apartment kitchen with white cabinets and appliances.,20,2,10,This is an apartment kitchen with white cabinets _ _.
a night view of a street with lights from cars,34,6,10,a night view _ _ _ _ with lights from cars
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,10,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,7,10,"The bathroom has a wall sink, medicine cabinet, _ _ _, and bare walls."
Two women waiting at a bench next to a street.,19,6,10,_ _ waiting at a bench next to a street.
A man is sitting in a busy area with his bike.,15,5,10,A man is _ _ _ _ _ with his bike
Two people riding on a moped with a bus in the next lane.,28,8,10,_ _ _ _ on a moped with a bus in the next lane.
Two people riding on a moped with a bus in the next lane.,28,6,10,Two people _ _ _ _ _ with a bus in the next lane.
A younger man and an older man skiing in the forest.,13,0,10,_ _ _ and an older man skiing in the forest.
A younger man and an older man skiing in the forest.,13,8,10,A younger man and an older man _ _ _ _ _
Commercial liner at a airport parked on a runway.,13,10,10,Commercial liner at a airport _ _ _ _
Commercial liner at a airport parked on a runway.,13,8,10,Commercial liner at a airport parked on a _
A futuristic car and a motorcycle parked next to each other. ,15,3,10,_ _ _ _ and a motorcycle parked next to each other.
A man rides a motorcycle down an empty street next to houses.,17,9,10,_ _ _ a motorcycle down an empty street next to houses
A man rides a motorcycle down an empty street next to houses.,17,10,10,A man rides a motorcycle _ _ _ _ _ _ _ _ _ _
Some yellow objects are floating in red liquid in a jar.,29,10,10,_ _ _ are floating in red liquid in a jar
A cozy living room scene features easy chairs and a large television.,25,4,10,_ _ _ _ scene features easy chairs and a large television.
A cozy living room scene features easy chairs and a large television.,25,10,10,A cozy living room scene features _ _ and a large television.
A BMW motor cycle parked next to shrub..,39,2,10,A BMW motor cycle _ _ _ _ _.
A dog driving an SUV in an open grass covered field.,20,1,10,_ _ _ _ an SUV in an open grass covered field
A car stopped at a traffic light with it's brake lights on.,17,8,10,_ _ stopped at a traffic light with it's brake lights on.
Stained glass windows with trim decorate a church.,19,9,10,Stained glass windows with _ decorate a church
Stained glass windows with trim decorate a church.,19,10,10,Stained glass windows with trim decorate a _
A lot of motorbikes line up down a busy street.,11,7,10,_ _ _ motorbikes line up down a busy street.
A lot of motorbikes line up down a busy street.,11,10,10,A lot of motorbikes _ _ _ a busy street.
"A clean, European toilet with toilet paper and cleaning brush.",29,8,10,"A clean, European toilet with toilet paper and _ _"
"A clean, European toilet with toilet paper and cleaning brush.",29,10,10,"A clean, European _ _ _ _ _ _ _ _ _"
A young attractive woman sitting on a toilette on the side of a street.,40,8,10,_ _ _ sitting on a toilette on the side of a street.
A scooter is parked behind a red car.,17,1,10,_ _ _ _ behind a red car.
A scooter is parked behind a red car.,17,4,10,_ _ is parked behind a red car.
A dog rides in a cart pulled by a man on a bike.,22,10,10,A dog rides in a cart pulled by a _ _ _ _
A fancy bathroom with double mirrors and sinks.,15,2,10,A fancy bathroom with _ _ and sinks
People riding on top of elephants that are walking in a line across a road. ,15,1,10,People _ _ _ _ of elephants that are walking in a line across a road.
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,6,10,A fancy bathroom with _ _ _ _ and sinks next to a toilette.
An old man standing in a kitchen posing for a picture.,22,1,10,An old man _ _ _ _ posing for a picture.
Motorcyclist is taking a turn while onlookers observe ,13,2,10,_ _ taking a turn while onlookers observe
A stoic looking cat sits in a green bowl.,13,6,10,_ _ _ _ sits in a green bowl
A city street with people walking and vehicles on the road.,12,7,10,A city street with people walking and _ _ _ _.
A city street with people walking and vehicles on the road.,12,4,10,A city street with people walking and vehicles _ _ _.
Children's toy animals are strewn across a floor.,29,5,10,Children's toy animals _ _ _ _ _ _ _.
People sitting under an umbrella looking at the scenery.,25,10,10,_ _ under an umbrella looking at the scenery.
A white bathroom has a white shower curtain.,11,10,10,A white _ _ a white shower curtain.
A white bathroom has a white shower curtain.,11,8,10,A white bathroom has a white shower _.
There are two yellow flowers inside a vase.,16,7,10,There are two _ _ inside a vase.
A black and white photograph of a motorcycle.,12,1,10,_ _ _ _ photograph of a motorcycle
A bathroom being renovated featuring a toilette and shower.,22,9,10,A bathroom being renovated _ _ _ _ _.
A motorcycle moves forward down an empty street.,21,8,10,A motorcycle _ _ _ _ an empty street
A sign on a building advertising an Italian restaurant.,13,8,10,_ _ _ _ advertising an Italian restaurant.
A cat is curled up in a bowl,12,9,10,_ _ curled up in a bowl
A cat is curled up in a bowl,12,7,10,A cat _ _ _ in a bowl
A sign for an Italian restaurant hangs outside a building.,26,2,10,_ _ _ _ an Italian restaurant hangs outside a building
A sign for an Italian restaurant hangs outside a building.,26,8,10,A sign for an Italian restaurant hangs outside _ _
A person with a colorful umbrella sits on a fountain.,17,7,10,_ _ _ with a colorful umbrella sits on a fountain
Trees ring a cathedral with clock tower and elaborate turrets.,41,3,10,Trees ring a cathedral with _ _ and elaborate turrets.
A person sitting on a stool on the street.,25,1,10,_ _ _ on a stool on the street
A group of people riding mopeds through a park.,12,9,10,_ _ _ riding mopeds through a park.
A group of people riding mopeds through a park.,12,10,10,A group of people _ _ _ through a park.
A ski resort that has a couple people outside. ,12,8,10,A ski resort _ _ _ _ _ outside.
four urinals in a public restroom with a window,40,3,10,_ _ _ in a public restroom with a window
A sign outside of a restaurant for Italian food. ,19,0,10,_ _ outside of a restaurant for Italian food.
A desktop with two computers and fruit on it.,16,6,10,_ _ _ two computers and fruit on it.
A desktop with two computers and fruit on it.,16,2,10,A desktop with _ _ and fruit on it.
A parked motorcycle with a red enclosed side car.,13,0,10,_ _ _ with a red enclosed side car.
A parked motorcycle with a red enclosed side car.,13,0,10,_ parked motorcycle with a red enclosed side car.
A skateboarder wearing a plaid shirt and jeans.,29,5,10,_ _ wearing a plaid shirt and jeans.
A skateboarder wearing a plaid shirt and jeans.,29,9,10,A skateboarder _ _ _ _ _ _ _ _.
A skateboarder wearing a plaid shirt and jeans.,29,10,10,A skateboarder wearing a plaid shirt and _ _.
A young boy riding a motorcycle next to a silver car.,14,10,10,A young boy riding a motorcycle _ _ _ _ _.
Several people riding on the back of elephants,46,8,10,Several people _ _ _ _ _ elephants
Grey house cat devours a song bird on a door step,11,4,10,_ _ _ devours a song bird on a door step
Grey house cat devours a song bird on a door step,11,7,10,Grey house cat devours a song bird on a _ _
A person walking in the rain on the sidewalk. ,20,1,10,_ _ _ in the rain on the sidewalk
A person walking in the rain on the sidewalk. ,20,7,10,A person walking in the rain on _ _
A couple on a motorcycle in front of a bus and a metermaid car,22,3,10,_ _ on a motorcycle in front of a bus and a metermaid car
The sign of a restaurant in the outside of the store.,15,7,10,_ _ _ a restaurant in the outside of the store.
The sign of a restaurant in the outside of the store.,15,8,10,The sign of a restaurant in the _ _ _ _.
A fighter jet flying through the sky with smoke coming off of it.,35,8,10,A fighter jet flying through the sky with _ _ _ _ _ _ _.
A woman is taking a picture of herself in a bathroom mirror.,24,5,10,A woman is _ _ _ _ of herself in a bathroom mirror.
A girl observes a life size toy kitchen.,18,3,10,A girl observes a life size toy _ _
Two bicycle riders riding in the city at night.,26,7,10,_ _ _ riding in the city at night.
Two bicycle riders riding in the city at night.,26,9,10,Two bicycle riders riding in the city _ _.
A small child climbs atop a large motorcycle,25,9,10,A small child _ _ a large motorcycle
A model standing next to a scooter in the middle of a room of people,22,7,10,A model standing next to a scooter in the middle of a _ _ _
A living room filled with books furniture and a flat screen TV.,18,8,10,A living room filled with _ _ _ _ _ a flat screen TV.
An overview picture of a street at night.,29,9,10,_ _ _ of a street at night.
An overview picture of a street at night.,29,7,10,An overview picture of a _ at night.
Some toy animals on the ground near a picture,22,1,10,Some toy animals _ _ _ near a picture
Creamy cheesecake dessert with whip cream and caramel.,12,6,10,_ _ _ dessert with whip cream and caramel.
Creamy cheesecake dessert with whip cream and caramel.,12,10,10,Creamy cheesecake dessert with _ _ and caramel.
Creamy cheesecake dessert with whip cream and caramel.,12,2,10,_ cheesecake dessert with whip cream and caramel.
Sunrise on an airport tarmac with a plane at the boarding ramp.,11,10,10,Sunrise on an airport tarmac with a _ _ _ _ _ _ _ _.
A person holding a skateboard overlooks a dead field of crops.,20,4,10,A person holding a _ _ overlooks a dead field of crops
A skateboarder is riding his skateboard at night.,33,4,10,_ _ is riding his skateboard at night.
A skateboarder is riding his skateboard at night.,33,8,10,A skateboarder is riding his skateboard _ _.
A car is parked on dry grass with kites overhead.,49,5,10,A car is parked on dry grass with _ _
A kitchen is shown with wooden cabinets and a wooden celling.,30,3,10,_ _ _ _ with wooden cabinets and a wooden celling
A kitchen is shown with wooden cabinets and a wooden celling.,30,5,10,A kitchen _ _ _ wooden cabinets and a wooden celling
The young man is stirring his pot of food with a wooden spoon.,12,2,10,_ _ _ is stirring his pot of food with a wooden spoon.
The young man is stirring his pot of food with a wooden spoon.,12,6,10,The young man is _ _ _ _ _ with a wooden spoon.
A car stopped at the front of the stop light. ,13,3,10,A car stopped at the front of the _ _ _.
The city streets are dark and deserted at night.,36,7,10,_ _ _ are dark and deserted at night
The city streets are dark and deserted at night.,36,6,10,_ _ _ _ dark and deserted at night
Some dogs stick their heads out the car window.,27,9,10,_ _ stick their heads out the car window.
A truck nears a stop light in rainy weather.,26,10,10,A truck nears a stop light in _ _.
A car is at a red light in the rain.,40,6,10,A car is at a red light _ _ _.
A woman is at her oven in a lime green kitchen.,36,5,20,_ _ _ at her oven in a lime green kitchen
A woman is at her oven in a lime green kitchen.,36,2,20,A woman is _ _ _ _ in a lime green kitchen
Three airplanes on display behind a high fence.,33,12,20,_ _ _ on display behind a high fence.
Two young men walking down a runway toward an airplane.,32,18,20,Two young men _ _ _ _ toward an airplane.
A car is stopped at a red light,41,11,20,_ _ stopped at a red light
A car is stopped at a red light,41,14,20,_ _ is stopped at a red light
"Entertainment room with rack of dvds, tv and seating area.",40,11,20,"_ _ _ with rack of dvds, tv and seating area."
Individuals holding pastries or donuts of some kind,46,11,20,Individuals holding _ _ _ _ of some kind
A living room is arranged so people can watch the television.,25,9,20,_ _ _ _ is arranged so people can watch the television.
A living room is arranged so people can watch the television.,25,5,20,A living room is arranged so people can watch _ _.
Two men walking the tarmac of an airport.,26,12,20,Two men walking the tarmac _ _ _.
A giraffe looks down at a zebra on the field,30,20,20,A giraffe looks down at a zebra _ _ _
A giraffe and a zebra checking each other out.,27,14,20,A giraffe and _ _ checking each other out.
A beautiful new kitchen with natural wood cabinets.,25,4,20,_ _ _ _ with natural wood cabinets.
A beautiful new kitchen with natural wood cabinets.,25,14,20,A beautiful new kitchen with natural wood _ _.
An office kitchen with open windows and no food.,35,11,20,An office kitchen with open windows and _ _.
Four giraffes in a grassy plain with trees in the background.,24,7,20,_ _ _ in a grassy plain with trees in the background.
Four giraffes in a grassy plain with trees in the background.,24,11,20,Four giraffes in a _ _ _ with trees in the background.
The woman in the kitchen is holding a huge pan.,29,17,20,The woman in the kitchen _ _ _ _ _ _
Virgin sponsored airplane parked with a plane leaving in the background.,47,11,20,Virgin sponsored airplane _ _ _ _ _ _ _ _ _ _ _ _ _
A skate boarder at night prepairing to skate away.,28,13,20,_ _ _ at night prepairing to skate away
A skate boarder at night prepairing to skate away.,28,19,20,A skate boarder _ _ prepairing to skate away
Two girls and a boy point to an unbaked pizza.,46,15,20,Two girls and a boy point to an _ _ _
Two girls and a boy point to an unbaked pizza.,46,8,20,Two girls and a boy _ _ _ _ unbaked pizza
Two girls and a boy point to an unbaked pizza.,46,8,20,Two girls and a boy point to an unbaked _ _
a night view of a street with lights from cars,34,11,20,_ _ _ of a street with lights from cars
a night view of a street with lights from cars,34,6,20,a night view _ _ _ _ with lights from cars
A girl on a motorcycle holding a DSW bag and kissing a guy who is driving the bike.,33,11,20,A girl on a motorcycle _ _ _ _ _ _ and kissing a guy who is driving the bike.
Two people riding on a moped with a bus in the next lane.,28,8,20,_ _ _ _ on a moped with a bus in the next lane.
Two people riding on a moped with a bus in the next lane.,28,14,20,Two people riding on a moped with a bus _ _ _ _.
Two people riding on a moped with a bus in the next lane.,28,6,20,Two people _ _ _ _ _ with a bus in the next lane.
A person cross country skiing in the street of a town in winter.,27,15,20,A person _ _ _ in the street of a town in winter.
Some yellow objects are floating in red liquid in a jar.,29,10,20,_ _ _ are floating in red liquid in a jar
Some yellow objects are floating in red liquid in a jar.,29,16,20,Some yellow objects are floating in _ _ in a jar
A cozy living room scene features easy chairs and a large television.,25,4,20,_ _ _ _ scene features easy chairs and a large television.
A cozy living room scene features easy chairs and a large television.,25,10,20,A cozy living room scene features _ _ and a large television.
"A large herd of sheep grazing in a pasture,",27,17,20,_ _ _ _ of sheep grazing in a pasture
"A large herd of sheep grazing in a pasture,",27,19,20,A large herd of sheep grazing _ _ _
A BMW motor cycle parked next to shrub..,39,2,20,A BMW motor cycle _ _ _ _ _.
A room contains baskets and has a fireplace. ,34,14,20,A room contains baskets _ _ _ _.
A room contains baskets and has a fireplace. ,34,11,20,A room contains baskets and has _ _.
"A clean, European toilet with toilet paper and cleaning brush.",29,8,20,"A clean, European toilet with toilet paper and _ _"
"A clean, European toilet with toilet paper and cleaning brush.",29,10,20,"A clean, European _ _ _ _ _ _ _ _ _"
A young attractive woman sitting on a toilette on the side of a street.,40,8,20,_ _ _ sitting on a toilette on the side of a street.
A young attractive woman sitting on a toilette on the side of a street.,40,20,20,A young attractive woman _ _ _ _ on the side of a street.
A dog rides in a cart pulled by a man on a bike.,22,10,20,A dog rides in a cart pulled by a _ _ _ _
A dog rides in a cart pulled by a man on a bike.,22,20,20,A dog rides in a cart pulled by a man on a _
A few items sit on top of a toilet in a bathroom stall.,28,18,20,A few items sit on top of a toilet in a _ _.
A few items sit on top of a toilet in a bathroom stall.,28,18,20,A few items _ _ _ _ a toilet in a bathroom stall.
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,6,20,A fancy bathroom with _ _ _ _ and sinks next to a toilette.
An old man standing in a kitchen posing for a picture.,22,1,20,An old man _ _ _ _ posing for a picture.
A group of motorcycle riders driving past buildings.,24,13,20,_ _ _ motorcycle riders driving past buildings.
Children's toy animals are strewn across a floor.,29,5,20,Children's toy animals _ _ _ _ _ _ _.
Children's toy animals are strewn across a floor.,29,17,20,Children's toy animals are strewn _ _ _ _.
People sitting under an umbrella looking at the scenery.,25,10,20,_ _ under an umbrella looking at the scenery.
A bathroom being renovated featuring a toilette and shower.,22,9,20,A bathroom being renovated _ _ _ _ _.
A motorcycle moves forward down an empty street.,21,20,20,_ _ _ _ down an empty street
A motorcycle moves forward down an empty street.,21,11,20,A motorcycle moves forward down _ _ _
